path_id,from_space,to_space,path_type,movement_direction,min_passage_width_m,max_hops_from_entrance,privacy_level,bhk_applicability,facing_dependency,reason,nbc_reference,vastu_basis,violation_consequence,graph_edge_weight,is_critical_path
1,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Primary arrival path from public road to semi-outdoor threshold in Tamil Nadu homes,NBC 2016 Part 4 Sec 5,0,No defined entry threshold — visitors step directly into living room with no spatial transition,1.0,1
2,verandah,living,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Verandah to living is the primary threshold crossing in Tamil Nadu homes marked by step or archway,NBC 2016 Part 4 Sec 5,1,Living room unreachable from entry — entire house circulation graph is broken,1.0,1
3,living,dining,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Living and dining are typically connected by wide archway in Tamil Nadu residential practice,NBC 2016 Part 4 Sec 5,0,Dining isolated from living forces circuitous routes for daily meals and guest hospitality,0.9,1
4,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen must be reachable from living for daily use positioned to contain cooking odours and noise,NBC 2016 Part 4 Sec 5,1,Kitchen becomes dead-end or accessible only through bedroom — fundamental circulation violation,0.9,1
5,living,toilet_common,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Common toilet accessible from living area serves guests without entering private zone,NBC 2016 Part 9 Sec 4,0,Common toilet unreachable from living — guests have no sanitation access creating usability failure,0.8,1
6,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,1BHK,ANY,In 1BHK master bedroom accessed directly from living room as no corridor exists,NBC 2016 Part 4 Sec 5,1,1BHK bedroom unreachable or accessible only through kitchen — circulation failure,0.95,1
7,living,corridor,DIRECT_ENTRY,BIDIRECTIONAL,1.05,1,SEMI_PRIVATE,"2BHK,3BHK,4BHK",ANY,Central corridor distributes circulation from living to bedrooms and toilets in larger layouts,NBC 2016 Part 4 Sec 5,0,No corridor means every bedroom door opens directly into living — reduces privacy and creates clutter,0.8,1
8,corridor,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,"2BHK,3BHK,4BHK",ANY,Master bedroom accessed from corridor ensures privacy from public zones in larger layouts,NBC 2016 Part 4 Sec 5,1,Master bedroom accessible only through another bedroom — privacy and egress violation,0.95,1
9,master_bedroom,toilet_attached,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Attached toilet is exclusive to master bedroom occupants ensuring privacy per Tamil Nadu norms,NBC 2016 Part 9 Sec 4,0,Master bedroom residents must use common toilet — defeats purpose of attached bath and reduces value,0.85,1
10,corridor,bedroom_2,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,"2BHK,3BHK,4BHK",ANY,Second bedroom opens from corridor rather than living room for privacy in larger layouts,,0,Bedroom 2 accessible only through master bedroom — nested privacy violation and fire egress concern,0.85,1
11,corridor,bedroom_3,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Third bedroom served by corridor in larger homes typical of joint family layouts in Tamil Nadu,,0,Bedroom 3 becomes landlocked with no independent access — family member must cross another bedroom,0.75,0
12,corridor,bedroom_4,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,4BHK,ANY,Fourth bedroom in premium 4BHK homes accessed via corridor ensuring independent private access,,0,Bedroom 4 accessible only through bedroom 3 — cascading privacy failure unacceptable in modern housing,0.7,0
13,corridor,toilet_common,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,"3BHK,4BHK",ANY,Common toilet opening off corridor rather than living room preferred in larger layouts for better privacy,,0,Common toilet visible from living when corridor door is open — reduces visual privacy for toilet users,0.65,0
14,corridor,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"2BHK,3BHK,4BHK",ANY,Kitchen accessible from corridor allows service movement without passing through living or dining zones,,0,Kitchen accessible only through living — service traffic and cooking smells intrude on social space,0.75,0
15,kitchen,utility,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Utility room directly behind kitchen for washing and service is standard Tamil Nadu service zone layout,NBC 2016 Part 4 Sec 5,0,Utility accessible only through bedroom — wet service activities intrude on private zone,0.75,1
16,dining,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Dining to kitchen direct access is essential for food service in Tamil Nadu homes,NBC 2016 Part 4 Sec 5,1,Food must traverse living room to reach dining table — impractical and violates kitchen-dining adjacency,0.85,0
17,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"2BHK,3BHK,4BHK",ANY,Pooja room in NE accessible from living room per vastu shastra widely followed in Tamil Nadu,NBC 2016 Part 4 Sec 5,1,Pooja room behind kitchen or toilet contradicts vastu and cultural significance of prayer space,0.7,0
