seq_id,sequence_step,space_name,space_type,is_mandatory,is_optional,min_depth_m,typical_depth_m,width_relationship,visual_termination,privacy_transition,transition_element,facing_n_description,facing_s_description,facing_e_description,facing_w_description,vastu_significance,traditional_tn_element,modern_adaptation,drawing_annotation,bhk_applicability,plot_area_min_sqm
1,1,Main Gate,GATE,1,0,0.3,0.6,SAME_WIDTH,House facade visible framed by compound wall pillars with house number plate,PUBLIC to PUBLIC,Gate pillars with name plate and bell,North gate with tulasi madam visible beside right pillar; morning sun on house facade,South gate with overhead shade protecting from afternoon sun; house recessed behind shade,East gate with morning sun on facade; auspicious first light on threshold and kolam,West gate with louvered panel or pergola to filter setting sun glare on approach,Gate position on vastu pada grid — specific boundary positions auspicious for entry,Compound wall gate with stone pillars brass name plate and traditional brass bell,Modern MS frame gate with laser-cut panel intercom unit and remote-controlled sliding,GATE,"1BHK,2BHK,3BHK,4BHK",18
2,2,Pathway,PATHWAY,0,1,1.2,2.0,NARROWER,Main door visible at end with verandah partially visible creating arrival anticipation,PUBLIC to PUBLIC,Change in paving material from compound to pathway,North pathway straight axis to verandah with garden on sides and tulasi at midpoint,South pathway with shade trees on west edge and curved alignment to avoid direct sun axis,East pathway in full morning light with stepping stones on lawn; auspicious arrival,West pathway shaded by pergola with creeper plants filtering afternoon sun,Pathway should not align directly with road — slight offset prevents negative energy,Traditional brick stepping stones with jasmine and tulasi alongside,Modern textured concrete with LED path lighting and minimal landscaping,PATH,"2BHK,3BHK,4BHK",60
3,2,Car Porch,CAR_PORCH,0,1,5.0,6.0,WIDER,Vehicle shelter with house entrance visible beyond; pedestrian path from car to verandah,PUBLIC to PUBLIC,Transition from vehicular to pedestrian zone marked by bollard or level change,North car porch along north boundary; roof sloping south; pedestrian path to verandah east,South car porch with high roof for heat dissipation and ventilated sides for air movement,East car porch with morning sun and roof designed for rain runoff away from pedestrian path,West car porch with solid west wall blocking afternoon sun and open east for ventilation,Car porch must not block main door view from gate — vehicle should not obstruct entry axis,Traditional RCC flat roof car porch with masonry pillars and decorative bracket details,Modern steel frame with polycarbonate sheet roof minimalist pillar and EV charging point,CAR PORCH,"2BHK,3BHK,4BHK",80
4,3,Verandah,VERANDAH,1,0,1.5,1.8,SAME_WIDTH,Main door framed by columns with seating visible and doorbell at eye level,PUBLIC to SEMI_PUBLIC,Raised platform with stone step and change in floor finish from pathway,North verandah full road-facing width with thinnai seat east and main door centred on south wall,South verandah 1.8m depth minimum for sun protection; thinnai on west; door with overhead shade,East verandah in morning light with thinnai on south; main door receiving auspicious east sun,West verandah with deep overhang; thinnai on south; main door set back from afternoon glare,Verandah is the griha-mukha face — its proportions determine the energy entering the home per vastu,Traditional thinnai raised platform with carved wooden columns seating ledge and kolam on floor,Modern verandah with sit-out area recessed lighting decorative column cladding and designer tile,VERANDAH,"1BHK,2BHK,3BHK,4BHK",18
5,4,Main Door,MAIN_DOOR,1,0,0.15,0.2,NARROWER,Ornate door surface with handle visible; threshold strip marking inside-outside boundary,SEMI_PUBLIC to SEMI_PRIVATE,Threshold strip in brass or granite with 25mm step marking the sacred entry boundary,North house main door on south wall of verandah; overhead brass lamp and door frame carving,South house main door facing north; set back with deep overhang shade above frame,East house main door facing west; morning backlight creates silhouette welcome for approach,West house main door facing east; morning light on decorative carved surface of door,Main door crossing is the most sacred threshold per vastu — frame must be complete with no gap,Traditional double-leaf teak door with brass fittings carved panels mango toran and brass strip,Modern door with engineered veneer finish digital lock decorative handle and peephole camera,MAIN DOOR,"1BHK,2BHK,3BHK,4BHK",18
6,5,Living Room,LIVING,1,0,3.0,3.6,WIDER,Full interior view with furniture visible; natural light from windows; doors to other zones,SEMI_PRIVATE to SEMI_PRIVATE,Archway or wide opening from threshold to living marking transition from entry to social zone,North-facing living with large north windows providing even diffused daylight throughout day,South-facing living with high south windows and cross-ventilation from north behind,East-facing living filled with morning sun through east windows; bright welcoming atmosphere,West-facing living with minimal west windows; cross-ventilation from east manages afternoon heat,Living room is the heart of the griha — must be well-lit airy and largest space per vastu,Traditional living with wooden swing jhula brass lamp stands kolam-patterned tile and deity photo,Modern living with modular sofa entertainment unit accent lighting and minimalist decor,LIVING,"1BHK,2BHK,3BHK,4BHK",18
7,6,Dining,DINING,0,1,2.5,3.0,WIDER,Dining table visible connected to living by archway with kitchen door beyond,SEMI_PRIVATE to SEMI_PRIVATE,Archway or wide opening between living and dining with change in floor or ceiling pattern,North-facing dining adjacent to living on SE side with kitchen beyond; morning light in dining,South-facing dining on east side of living; cross-ventilation from north through kitchen high vents,East-facing dining between morning-lit living and kitchen; natural light present throughout meal times,West-facing dining on east interior wall away from hot west sun; kitchen buffers western heat gain,Dining space should be clean peaceful and well-lit per vastu — facing east or north for meals is auspicious,Traditional dining with floor seating leaf serving area and wall niche for water vessel,Modern dining with 4-6 seater table pendant light over table and open connection to kitchen,DINING,"2BHK,3BHK,4BHK",40
8,6,Kitchen,KITCHEN,1,0,2.0,2.5,NARROWER,Kitchen work triangle visible; natural light from east or south window; exhaust vent above stove,SEMI_PRIVATE to SERVICE,Transition from open living to enclosed service zone via kitchen door or archway,North-facing layout: kitchen in SE corner with east window for morning cooking light,South-facing layout: kitchen in NE area with east window and north exhaust path,East-facing layout: kitchen in SE corner receiving direct morning cooking light from east,West-facing layout: kitchen in SE interior away from hot west wall with east or south light,Kitchen must be in SE per vastu agni zone — fire (stove) in fire corner is auspicious,Traditional kitchen with stone grinding corner tulasi niche high window and raised cooking platform,Modern kitchen with modular units chimney-style exhaust stone countertop and storage above,KITCHEN,"1BHK,2BHK,3BHK,4BHK",18
9,7,Corridor,CORRIDOR,0,1,1.0,1.2,NARROWER,Bedroom doors visible along corridor walls; natural light from end window or skylight,SEMI_PRIVATE to PRIVATE,Transition from open living to enclosed corridor marking entry to private zone,North-facing: corridor on south side of service band; bedroom doors on south face of corridor,South-facing: corridor on north side of service band; bedroom doors on north face after rotation,East-facing: corridor perpendicular to entry axis running east-west between service and private,West-facing: corridor perpendicular to entry axis with bedrooms on plot interior away from road,Corridor is the brahmasthana boundary — it separates social and sacred private zones per vastu,Traditional agraharam has a central corridor running full house depth connecting all spaces,Modern corridor with recessed lighting niche display walls and acoustic door seals on bedrooms,CORRIDOR,"2BHK,3BHK,4BHK",40
10,8,Master Bedroom,MASTER_BEDROOM,1,0,2.8,3.2,WIDER,Double bed visible with wardrobe; window on exterior wall; attached toilet door to side,PRIVATE to PRIVATE,Solid door with quality handle marking complete separation from corridor or living zone,North-facing: master bedroom SW corner with window on W wall; quiet from road noise,South-facing: master bedroom NW corner with window on W wall away from south entry,East-facing: master bedroom SW or W with windows on S and W; bedroom away from entry side,West-facing: master bedroom SE or E with windows on S and E; away from hot W entry,Master bedroom in SW (Nairuthi) per vastu — stable earth energy supports restful sleep,Traditional master bedroom with door to attached toilet stone floor ceiling fan and window seating,Modern master bedroom with air-conditioned TV unit walk-in wardrobe provision and ensuite bath,MASTER BEDROOM,"1BHK,2BHK,3BHK,4BHK",18
