principle_id,principle_name,category,description,application_condition,plot_area_min_sqm,plot_area_max_sqm,climate_zones,applicable_rooms,wall_thickness_mm,cost_saving_pct,material_saving_pct,thermal_benefit,implementation_detail,nbc_compliant,tncdbr_compliant,tn_districts_applicable,reference_source,drawing_impact
1,Rat-trap Bond Brick Wall,WALL_CONSTRUCTION,Vertically oriented brick masonry with cavity reducing mortar consumption by 30-40 percent while maintaining structural integrity and providing thermal mass for Tamil Nadu hot climate.,plot_area >= 54 AND floors <= 3,54,,Hot_Humid;Warm_Humid;Hot_Dry;Composite,"living,master_bedroom,bedroom_2,bedroom_3,bedroom_4,kitchen,verandah",230,25,35,HIGH,Place bricks vertically with 65mm cavity depth. Use lime mortar in cavity. Maintain 1:1 brick ratio for optimal load distribution. External face normal coursing; internal face cavity.,1,1,ALL,"Baker 1983, Rural Housing Manual",Shows cavity width in wall section details; requires cavity lines in elevation; modifies wall thickness annotation
2,Rat-trap Bond with Lime Mortar,WALL_CONSTRUCTION,Rat-trap cavity filled with lime-sand mortar instead of cement enabling better breathability reduced carbon footprint and lower cost for sustainable Tamil Nadu construction.,plot_area >= 40 AND floors <= 4,40,,Warm_Humid;Hot_Dry;Composite,"living,master_bedroom,bedroom_2,kitchen,verandah",230,28,38,MEDIUM,Apply 1:3 lime mortar ratio. Space bricks vertically at 300mm intervals. Use traditional lime kiln-sourced binders. Cure for minimum 28 days before loading.,0,1,ALL,BMTPC Guidelines 2001,Annotation of mortar type on all sections; special note for curing timeline; differentiates joint thickness from cement
3,Filler Slab Roof,ROOF_CONSTRUCTION,Hollow filler materials placed in the tension zone of RCC slab replacing concrete where it contributes no structural strength. Reduces concrete and steel by 15-20 percent per slab.,plot_area >= 36,36,,Hot_Humid;Warm_Humid;Hot_Dry;Composite,"living,master_bedroom,bedroom_2,bedroom_3,kitchen,dining",0,18,20,HIGH,Use 150mm hollow clay tiles terracotta pots or coconut shells in bottom third of slab spanning zones. Rebar above and below filler. Top concrete skin 50mm minimum. Consult structural engineer for span.,1,1,ALL,"Baker 1977, Low Cost Housing",Section showing filler placement in slab; material specification for filler type; structural engineer approval stamp required
4,Mangalore Tile Pitched Roof,ROOF_CONSTRUCTION,Traditional clay tile on pitched wooden or steel truss roof providing natural ventilation through ridge and overlapping tile joints reducing thermal gain significantly versus flat RCC.,plot_area >= 36,36,,Hot_Humid;Warm_Humid,ALL,0,15,10,HIGH,Pitch minimum 30 degrees for effective rain runoff. Use pressure-treated timber or galvanised steel purlin. Ridge vent tile every 1.5m. Overhang minimum 600mm on all sides.,1,1,"Chennai,Coimbatore,Kancheepuram,Thiruvallur,Cuddalore,Nagapattinam,Mayiladuthurai,Thiruvarur,Thanjavur,Kanyakumari,Tenkasi","Baker 1975, Building Practices",Roof plan showing tile pattern; section with truss and purlin; eave detail; ridge vent location marked
5,Brick-Bat Coba Roof Insulation,ROOF_CONSTRUCTION,Crushed brick pieces set in lime mortar on flat RCC slab creating insulation layer reducing solar heat transmission into living spaces below by 40 percent versus bare RCC.,plot_area >= 30,30,,Hot_Humid;Hot_Dry;Composite,ALL,0,10,5,HIGH,Apply 40-60mm brick-bat pieces in 1:3 lime mortar over waterproofing layer. Top with china mosaic or terracotta tile finish. Slope 1:50 minimum for drainage. Reapply lime wash every 2 years.,1,1,ALL,Traditional TN practice,Note on roof plan and section; specify brick-bat grade and mortar mix; slope direction arrows
6,Courtyard for Passive Cooling,SPATIAL_PLANNING,Internal open courtyard (mutram) creates chimney effect drawing hot air upward and pulling cool air through surrounding rooms significantly reducing cooling load in Hot_Dry districts.,plot_area >= 120,120,,Hot_Dry;Composite,"living,master_bedroom,kitchen,dining,verandah",0,8,0,HIGH,Minimum courtyard 9 sqm. All surrounding rooms to have openings into courtyard. Water body or plants in courtyard enhance evaporative cooling. Courtyard long axis N-S for summer shade on W rooms.,1,1,"Madurai,Tiruchirappalli,Salem,Coimbatore,Erode,Dharmapuri,Krishnagiri,Karur,Namakkal","Baker 1986, Traditional Indian Architecture",Courtyard shown as open-to-sky void with drainage; surrounding room windows marked; water feature shown
7,Verandah Passive Shade Buffer,SPATIAL_PLANNING,Full-width covered verandah on road-facing side creates shaded semi-outdoor buffer zone reducing direct solar entry into living rooms while maintaining natural ventilation and traditional threshold space.,plot_area >= 36,36,,Hot_Humid;Warm_Humid;Hot_Dry;Composite,verandah,0,5,0,HIGH,Verandah depth minimum 1.5m; overhang projects minimum 600mm beyond verandah outer edge. Columns or pillars at 1.8-2.4m spacing. Traditional kolam space at threshold level 450mm platform.,1,1,ALL,"Baker 1970, Rural Housing",Verandah shown full width; overhang dimension indicated; column spacing; platform height noted
8,High-Level Ventilation Openings,VENTILATION,Openings near ceiling level combined with low floor-level openings create stack-effect cross-ventilation drawing hot air out and cool air in without mechanical systems.,plot_area >= 36,36,,Hot_Humid;Warm_Humid,"living,master_bedroom,bedroom_2,bedroom_3,kitchen",0,12,0,HIGH,Provide high-level openings 200-300mm below ceiling on leeward wall and low openings 300-400mm above floor on windward wall. Louvered or jalousie type for weather protection. Cross-ventilation axis aligned with prevailing wind.,1,1,ALL,"Baker 1972, Ventilation in Tropical Dwellings",Elevation showing high and low vent positions; ventilation arrows on plans; wind direction indicator
9,Jaali Screen Walls,WALL_CONSTRUCTION,Perforated brick or precast concrete screen panels used as compound walls or as infill in verandah facades allowing breeze penetration while providing privacy and filtering sunlight.,plot_area >= 36,36,,Hot_Humid;Warm_Humid;Hot_Dry,verandah,115,8,5,MEDIUM,Design jaali opening size between 30-50mm for adequate airflow without loss of privacy. Use precast concrete or diagonally laid bricks. Provide jaali on windward side of compound wall or verandah parapet.,1,1,ALL,"Baker 1968, Simple Low Cost Constructions",Jaali pattern shown in elevation; opening percentage noted; material specification; compound wall section
10,Compressed Earth Block Walls,WALL_CONSTRUCTION,Locally available soil compressed into stabilised blocks using minimal cement reducing embodied energy by 60 percent versus fired brick; suitable for internal non-load-bearing walls in TN.,plot_area >= 54,54,,Hot_Dry;Composite,"store,utility,pooja,corridor",230,30,45,MEDIUM,CEB with 5-8 percent lime or cement stabiliser. Density minimum 1800 kg/m3. Test compressive strength 3.5 MPa minimum. Protect base course 450mm from ground with fired brick or stone. Lime plaster finish.,1,1,"Dharmapuri,Krishnagiri,Salem,Namakkal,Erode,Karur,Tiruchirappalli,Madurai,Theni","COSTFORD Field Guide 1994",CEB specification in material schedule; base course detail; lime plaster finish on elevations
