zone_id,zone_name,rooms_in_zone,zone_description,bhk_applicability,facing_dependency,must_be_accessible_from,must_not_be_accessible_from,max_depth_from_entry,min_zone_width_m,recommended_zone_fraction,vastu_zone_name,cross_ventilation_required,natural_light_required,noise_sensitivity,privacy_penetration_rule,drawing_color_hint,typical_tn_arrangement
1,FRONT_ZONE,verandah,Entry threshold and semi-outdoor reception zone full width along road-facing edge of dwelling,ALL,N,ENTRY_SEQUENCE,PRIVATE_ZONE,0,3.0,0.12,Dwar,1,1,LOW,Verandah wall open to visitor view — bedroom beyond must not be directly visible through any opening,#E8F4E8,Full-width verandah along north boundary with thinnai seating one side and main door centred
2,FRONT_ZONE,verandah,South-facing full-width verandah with deep 1.8m overhang to shade afternoon sun entry,ALL,S,ENTRY_SEQUENCE,PRIVATE_ZONE,0,3.0,0.12,Dwar,1,1,LOW,Verandah wall open to south road — must orient main door to capture NE morning light indirectly,#E8F4E8,Deep verandah on south boundary with 1.8m overhead shade; main door set back 0.3m from verandah edge
3,FRONT_ZONE,verandah,East-facing verandah receiving morning sun — auspicious entry orientation per vastu,ALL,E,ENTRY_SEQUENCE,PRIVATE_ZONE,0,3.0,0.12,Dwar,1,1,LOW,Verandah open to east road — living room entry benefits from morning light; bedroom not visible from gate,#E8F4E8,Full-width verandah on east boundary with kolam space at threshold; morning sun illuminates main door
4,FRONT_ZONE,verandah,West-facing verandah with deep overhang and jali screen to filter afternoon sun,ALL,W,ENTRY_SEQUENCE,PRIVATE_ZONE,0,3.0,0.12,Dwar,1,1,LOW,Verandah screened from west sun — jali or perforated panel prevents direct glare on entry threshold,#E8F4E8,West verandah with 900mm jali screen or pergola above; thinnai on south side away from sun
5,PUBLIC_ZONE,"living,dining",Social reception and dining zone directly accessible from verandah in 1BHK compact layout,1BHK,ANY,FRONT_ZONE,PRIVATE_ZONE,1,2.5,0.38,Uttara,1,1,LOW,Any bedroom door visible from living in 1BHK breaks public zone boundary completely,#D4EDDA,1BHK combined living-dining as single space with low partition or archway; kitchen at back end
6,PUBLIC_ZONE,"living,dining",Two-zone social space with open living-dining connected by wide archway in standard 2BHK,2BHK,ANY,FRONT_ZONE,PRIVATE_ZONE,1,3.0,0.35,Uttara,1,1,LOW,Corridor door visible from dining in 2BHK exposes private wing to guests during meals,#D4EDDA,2BHK living on north/front; dining toward service side connected by 1.8m archway; no bedroom visible
7,PUBLIC_ZONE,"living,dining",Three-zone social arrangement with separate living and formal dining in standard 3BHK,3BHK,ANY,FRONT_ZONE,PRIVATE_ZONE,1,3.6,0.30,Uttara,1,1,LOW,Bedroom corridor door facing dining table destroys visual privacy during family meals in 3BHK,#D4EDDA,3BHK living occupies full front band; dining between living and kitchen; corridor entrance away from dining axis
8,PUBLIC_ZONE,"living,dining",Generous social wing with spacious living formal dining and entry foyer in premium 4BHK,4BHK,ANY,FRONT_ZONE,PRIVATE_ZONE,1,4.0,0.28,Uttara,1,1,LOW,Multiple bedroom doors visible from living in 4BHK destroys entire private zone enclosure for guests,#D4EDDA,4BHK wide living with foyer alcove; formal dining separate from living with passage between them; corridor hidden
9,SERVICE_ZONE,"kitchen,utility,toilet_common",Compact service pod with kitchen and common toilet for 1BHK layout,1BHK,ANY,PUBLIC_ZONE,PRIVATE_ZONE,2,2.0,0.28,Agni,1,1,LOW,Kitchen accessible only through bedroom — service disrupts private zone completely in 1BHK,#FFF9C4,1BHK kitchen in SE corner; common toilet adjacent on W side; utility omitted on small plots
10,SERVICE_ZONE,"kitchen,utility,toilet_common",Full service zone with kitchen utility and common toilet in standard 2BHK,2BHK,ANY,PUBLIC_ZONE,PRIVATE_ZONE,2,2.5,0.26,Agni,1,1,LOW,Service entrance path crosses bedroom approach — maid access disrupts private zone boundary,#FFF9C4,2BHK kitchen SE corner; utility behind on S wall; common toilet NW accessible from corridor; service door E side
