dim_id,passage_type,min_clear_width_m,recommended_width_m,max_width_m,min_height_m,recommended_height_m,door_type,door_swing_clearance_m,bhk_applicability,nbc_reference,applies_to_floors,accessibility_compliant,drawing_symbol,dimension_annotation,common_tn_practice
1,MAIN_DOOR,0.9,1.05,1.2,2.1,2.1,SWING_SINGLE,0.9,1BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90 deg inward,900,1BHK teak single-leaf door 0.9m wide with carved frame standard in Tamil Nadu builder specification
2,MAIN_DOOR,1.05,1.2,1.5,2.1,2.4,SWING_DOUBLE,1.2,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double line with twin swing arcs inward,1050-1200,2BHK double-leaf teak main door 1.05-1.2m with brass fittings and threshold step is TN standard
3,MAIN_DOOR,1.05,1.2,1.5,2.1,2.4,SWING_DOUBLE,1.2,3BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double line with twin swing arcs inward,1200,Premium 3BHK double-leaf main door 1.2m with ornate carved panel and tall frame in TN practice
4,MAIN_DOOR,1.2,1.5,1.8,2.1,2.4,SWING_DOUBLE,1.5,4BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double line with twin swing arcs full width,1200-1500,Luxury 4BHK 1.2-1.5m main door with granite threshold and double-leaf carved teak standard
5,BEDROOM_DOOR,0.8,0.9,1.0,2.1,2.1,SWING_SINGLE,0.9,1BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Single line with swing arc 90 deg inward,800-900,1BHK bedroom door 0.8m flush door in plywood finish to minimise cost in Tamil Nadu budget housing
6,BEDROOM_DOOR,0.9,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,2BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90 deg inward,900,Standard 2BHK 0.9m bedroom doors in teak or engineered wood default in TN apartment projects
7,BEDROOM_DOOR,0.9,1.0,1.05,2.1,2.1,SWING_SINGLE,1.0,3BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90 deg inward,900-1000,3BHK master bedroom 1.0m door; other bedrooms 0.9m in Tamil Nadu practice
8,BEDROOM_DOOR,0.9,1.05,1.2,2.1,2.4,SWING_SINGLE,1.05,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90 deg inward wide,900-1050,Premium 4BHK 1.05m bedroom doors in solid teak with quality hardware standard in TN luxury spec
9,TOILET_DOOR,0.7,0.75,0.9,2.0,2.1,SWING_SINGLE,0.75,1BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,0,Single line with swing arc 90 deg outward,700-750,1BHK toilet door 0.75m swinging outward per NBC safety requirement in Tamil Nadu homes
10,TOILET_DOOR,0.7,0.75,0.9,2.0,2.1,SWING_SINGLE,0.75,2BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,0,Single line with swing arc 90 deg outward,750,Standard 2BHK toilet door 0.75m WPC material common across Tamil Nadu construction
