record_id,district,climate_zone,avg_temp_summer_c,avg_temp_winter_c,avg_temp_annual_c,max_temp_c,min_temp_c,annual_rainfall_mm,monsoon_months,relative_humidity_summer_pct,relative_humidity_winter_pct,prevailing_wind_direction,prevailing_wind_speed_kmh,solar_radiation_kwh_m2_day,latitude_degrees,longitude_degrees,ecbc_climate_zone,optimal_plot_facing,window_north_score,window_south_score,window_east_score,window_west_score,recommended_overhang_depth_m,wall_thickness_recommendation_mm,roof_type_recommendation,cross_ventilation_priority,courtyard_benefit,passive_strategy_1,passive_strategy_2,passive_strategy_3,window_to_wall_ratio_recommended,floor_plan_orientation_rule,imd_reference
1,Ariyalur,Composite,34.5,24.0,29.5,42.0,16.0,920,"Oct,Nov,Dec",62.0,55.0,NE,9.5,5.40,11.14,79.08,Composite,N,0.88,0.74,0.62,0.35,0.75,230,RCC slab with brick-bat coba and china mosaic finish,HIGH,MEDIUM,Maximize cross-ventilation with openings on NE and SW walls,Raised plinth 450mm for ground moisture protection,Light-coloured lime wash exterior to reduce solar gain,0.28,Orient long axis E-W; bedrooms on N and NE; kitchen SE; living NE for morning light,Trichy_IMD
2,Chengalpattu,Hot_Humid,33.5,24.5,29.2,42.8,18.0,1250,"Jun,Jul,Aug,Sep,Oct,Nov",71.0,63.0,NE,14.0,5.20,12.69,79.99,Warm-Humid,N,0.92,0.74,0.60,0.36,0.90,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Deep verandah on N and E facades for rain and sun protection,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.30,Orient long axis E-W; bedrooms on N; kitchen SE; living NE; corridor acts as thermal buffer on W,Nungambakkam
3,Chennai,Hot_Humid,33.5,25.2,29.8,43.4,18.0,1400,"Jun,Jul,Aug,Sep,Oct,Nov,Dec",72.9,64.5,SW,15.5,5.25,13.09,80.27,Warm-Humid,N,0.91,0.75,0.62,0.37,0.90,200,Mangalore tile over ventilated RCC slab with radiant barrier,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward SW walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating and extended eaves,0.30,Orient long axis E-W; bedrooms on N; kitchen SE; living NE for morning light; service rooms buffer W,Nungambakkam
4,Coimbatore,Warm_Humid,31.0,23.5,27.3,40.0,15.2,700,"Jun,Jul,Aug,Sep,Oct",62.0,51.5,W,10.8,5.52,11.02,76.97,Warm-Humid,N,0.89,0.80,0.60,0.36,0.75,200,Mangalore tile pitched roof with open ridge ventilation,CRITICAL,MEDIUM,Large operable windows on N and S for prevailing breeze capture,Lightweight insulated roof to reduce radiant heat gain,Stilted or raised floor construction for under-floor ventilation,0.27,Orient long axis E-W; bedrooms on N with full-height windows; kitchen SE; living open-plan on NE; wide verandah N,Coimbatore_Airport
5,Cuddalore,Hot_Humid,33.0,24.0,28.8,41.5,17.5,1350,"Jun,Jul,Aug,Sep,Oct,Nov",73.0,65.0,SE,13.0,5.15,11.75,79.77,Warm-Humid,N,0.90,0.72,0.63,0.36,0.85,200,Sloped tile roof with extended eaves and ventilated ridge,CRITICAL,MEDIUM,Stack-effect ventilation with high openings on windward side,Deep overhang on S and W for monsoon and sun protection,Lime plaster exterior for breathability and moisture resistance,0.29,E-W elongated plan; master bedroom NE; kitchen SE; service rooms buffer S wall; living opens N,Puducherry_IMD
6,Dharmapuri,Hot_Dry,35.5,22.5,29.5,43.5,14.0,780,"Oct,Nov,Dec",52.0,45.0,NE,10.0,5.75,12.13,78.16,Hot-Dry,N,0.92,0.70,0.60,0.30,0.65,300,Thick RCC slab with brick-bat coba and china mosaic insulation,MEDIUM,HIGH,Thick masonry walls 300mm+ for thermal mass and time-lag cooling,Small recessed windows with deep reveals to limit solar gain,Internal courtyard with water body for evaporative cooling,0.18,Compact plan around central courtyard; thick W wall; bedrooms N with small high windows; kitchen E,Salem_IMD
7,Dindigul,Hot_Dry,35.2,23.0,29.2,43.0,15.0,870,"Oct,Nov,Dec",56.0,48.0,SW,9.0,5.65,10.36,77.98,Composite,N,0.91,0.71,0.58,0.31,0.65,280,Filler slab with mud plaster and lime render topping,MEDIUM,HIGH,Evaporative cooling with courtyard and water features,Double-layer flat roof with ventilated cavity for insulation,Small windows with deep reveals on W and S to limit heat gain,0.20,Dense cluster plan; rooms around inner court; sleeping N upper floor; kitchen E ground floor; W wall solid,Madurai_Airport
8,Erode,Hot_Dry,35.0,23.0,29.2,43.5,14.5,700,"Oct,Nov",54.0,46.0,NE,9.5,5.70,11.34,77.72,Hot-Dry,N,0.91,0.72,0.59,0.30,0.60,300,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster exterior for radiant heat reduction and breathability,Cavity wall construction with air gap for thermal insulation,0.17,Inward-looking plan around courtyard; bedrooms N and E; W wall buffered by store; kitchen SE,Coimbatore_Airport
9,Kallakurichi,Composite,33.8,22.5,28.5,42.0,15.0,900,"Oct,Nov,Dec",60.0,52.0,NE,9.0,5.45,11.74,78.96,Composite,N,0.88,0.74,0.60,0.33,0.70,230,RCC slab with brick-bat coba and white china mosaic,HIGH,MEDIUM,Cross-ventilation with NE to SW axis openings,Raised plinth for ground moisture protection,Light-coloured exterior finishes to reduce solar absorption,0.27,Orient E-W; bedrooms N and NE; kitchen SE; living NE; corridor between service and private zone,Puducherry_IMD
10,Kancheepuram,Hot_Humid,33.2,24.5,29.0,42.5,18.0,1200,"Jun,Jul,Aug,Sep,Oct,Nov",70.5,62.0,NE,13.5,5.22,12.84,79.71,Warm-Humid,N,0.91,0.73,0.61,0.36,0.85,200,Mangalore tile roof on RCC slab with ventilated air gap,CRITICAL,MEDIUM,Deep verandah on road-facing side for rain and sun protection,Elevated plinth and ventilated crawl space,Lightweight reflective roof for reduced heat gain,0.29,Orient long axis E-W; bedrooms on N; kitchen SE; service rooms buffer S; living opens N,Nungambakkam
