rule_id,authority_type,district,plot_area_min_sqm,plot_area_max_sqm,road_width_min_m,road_width_max_m,front_setback_m,rear_setback_m,side_setback_left_m,side_setback_right_m,max_height_m,max_floors,fsi,max_ground_coverage_pct,setback_for_facing_N,setback_for_facing_S,setback_for_facing_E,setback_for_facing_W,compound_wall_height_max_m,parking_requirement,annotation_text,regulation_reference,effective_date,special_condition
1,CMDA,Chennai,0,30,,7.2,0.6,0.6,0,0,7,2,1.5,90,1,1,1,1,1.5,Nil,FRONT: 0.6M | REAR: 0.6M | SIDES: NIL | PLOT < 30 SQM,"TNCDBR 2019 Rule 36(3), Table 9",2019-02-02,
2,CMDA,Chennai,30,60,,7.2,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | MAX HT 7.0M (G+1),"TNCDBR 2019 Rule 36, Table 9",2019-02-02,
3,CMDA,Chennai,30,60,7.2,9,1.2,1.0,0,0,7,2,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M (7.2-9M ROAD) | REAR: 1.0M | SIDES: NIL | G+1 MAX,"TNCDBR 2019 Rule 36, Table 9",2019-02-02,
4,CMDA,Chennai,60,150,,7.2,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | HT ≤ 10M (G+2),"TNCDBR 2019 Rule 36, Table 9",2019-02-02,
5,CMDA,Chennai,60,150,7.2,12,1.5,1.2,0.6,0.6,10,3,1.5,75,1,1,1,1,1.5,Nil,FRONT: 1.5M (ROAD 7.2-12M) | REAR: 1.2M | SIDE-L: 0.6M | SIDE-R: 0.6M,"TNCDBR 2019 Rule 36, Table 9",2019-02-02,
6,CMDA,Chennai,150,300,,12,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car space per dwelling,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | HT ≤ 12M (G+3),"TNCDBR 2019 Rule 36, Table 9",2019-02-02,
7,CMDA,Chennai,300,500,,18,3.0,2.0,1.5,1.5,15,5,1.5,55,1,1,1,1,1.5,1 car space per 100 sqm BUA,FRONT: 3.0M | REAR: 2.0M | SIDES: 1.5M | MAX 5 FLOORS,"TNCDBR 2019 Rule 36, Table 9",2019-02-02,
8,CMDA,Chennai,500,,18,,5.0,3.0,3.0,3.0,18,6,1.5,50,1,1,1,1,1.5,1 ECS per 75 sqm BUA,FRONT: 5.0M | REAR: 3.0M | SIDES: 3.0M | G+5 MAX,"TNCDBR 2019 Rule 35, Rule 36",2021-04-15,Premium FSI up to 2.0 available per GO Ms No. 61
9,CMDA,Kancheepuram,0,60,,7.2,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | G+1,"CMDA DCR 2019 Rule 36",2019-02-02,
10,CMDA,Kancheepuram,60,150,,9,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | G+2,"CMDA DCR 2019 Rule 36",2019-02-02,
