code_id,nbc_section,code_category,room_type,parameter_name,min_value,max_value,unit,occupancy_type,bhk_applicability,condition,enforcement_level,penalty_for_violation,drawing_requirement,compliance_check,common_violation,waiver_possible,tn_local_amendment
1,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,master_bedroom,min_area,9.5,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 9.5 sqm for master bedroom with area annotation,room.area >= 9.5,Master bedroom area reduced to 8.5-9.0 sqm to accommodate larger living room,0,DTCP TN mandates 10.0 sqm for plots above 150 sqm
2,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,master_bedroom,min_width,2.4,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width dimension line must annotate minimum 2.4m clear internal width for master bedroom,room.min_width >= 2.4,Narrow master bedroom with width 2.2m due to wall thickness miscalculation,0,
3,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,master_bedroom,min_ceiling_height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section drawing must show 2.75m clear floor-to-ceiling height for master bedroom,room.ceiling_height >= 2.75,False ceiling reducing effective height below 2.75m not shown in plan,0,
4,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_2,min_area,7.5,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 7.5 sqm for bedroom_2 with area tag,room.area >= 7.5,Bedroom_2 reduced to 6.8 sqm by encroaching corridor space,0,CMDA requires 8.0 sqm for multi-storey apartments
5,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_2,min_width,2.1,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show 2.1m clear internal width for bedroom_2,room.min_width >= 2.1,Narrow bedroom width of 1.9m caused by oversized adjacent bathroom,0,
6,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_3,min_area,7.5,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 7.5 sqm for bedroom_3,room.area >= 7.5,Bedroom_3 squeezed to 6.5 sqm by oversized master bedroom,0,
7,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_3,min_width,2.1,,m,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show 2.1m for bedroom_3,room.min_width >= 2.1,Narrow bedroom_3 width of 1.95m insufficient for standard bed placement,0,
8,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_4,min_area,7.5,,sqm,RESIDENTIAL_GROUP_A1,4BHK,,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 7.5 sqm for bedroom_4,room.area >= 7.5,Bedroom_4 at 6.0 sqm too small for standard bed and wardrobe,0,
9,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_4,min_width,2.1,,m,RESIDENTIAL_GROUP_A1,4BHK,,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show 2.1m for bedroom_4,room.min_width >= 2.1,Narrow bedroom_4 at 1.9m created by partitioning existing room,0,
10,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,kitchen,min_area,4.5,,sqm,RESIDENTIAL_GROUP_A1,"1BHK,2BHK",,MANDATORY,Plan rejected by sanctioning authority,Kitchen area must be annotated with minimum 4.5 sqm dimension block,room.area >= 4.5,Kitchen area reduced to 3.8 sqm in 1BHK units to maximize bedroom,0,DTCP TN requires 5.0 sqm for 2BHK and above
11,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,kitchen,min_area,5.5,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Kitchen must show minimum 5.5 sqm with platform and movement space annotated,room.area >= 5.5,3BHK kitchen squeezed to 4.8 sqm due to dining area expansion,0,CMDA mandates 6.0 sqm for 3BHK in high-rise
12,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,kitchen,min_width,1.8,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width dimension line must show minimum 1.8m clear width in kitchen,room.min_width >= 1.8,Galley kitchen with 1.5m width violating minimum requirement,0,
13,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,living,min_area,9.5,,sqm,RESIDENTIAL_GROUP_A1,1BHK,,MANDATORY,Plan rejected by sanctioning authority,Living room area annotation must show minimum 9.5 sqm for 1BHK,room.area >= 9.5,Living room reduced to 8.5 sqm by moving partition toward living area,0,
14,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,living,min_area,12.0,,sqm,RESIDENTIAL_GROUP_A1,2BHK,,MANDATORY,Plan rejected by sanctioning authority,Living room must annotate minimum 12.0 sqm for 2BHK,room.area >= 12.0,2BHK living room at 10.5 sqm due to oversized bedrooms,0,CMDA recommends 13.0 sqm for 2BHK in group housing
15,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,living,min_area,15.0,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Living room must show minimum 15.0 sqm with furniture layout zone indicated,room.area >= 15.0,3BHK living room at 13.0 sqm with awkward L-shape,0,
16,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,living,min_width,2.4,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show minimum 2.4m clear width in living room,room.min_width >= 2.4,Living room narrowed to 2.2m by column projection,0,
17,"Part 3, Cl 3.4.5",ROOM_DIMENSIONS,dining,min_area,5.0,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",When provided as separate room,RECOMMENDED,Advisory notice issued,Dining area annotation must show 5.0 sqm minimum when separate from living,room.area >= 5.0,Separate dining room at 4.0 sqm inadequate for 4-seater table,1,
18,"Part 3, Cl 3.4.5",ROOM_DIMENSIONS,dining,min_width,1.8,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",When provided as separate room,RECOMMENDED,Advisory notice issued,Width must be annotated at minimum 1.8m for separate dining room,room.min_width >= 1.8,Narrow dining passage of 1.5m between living and kitchen,1,
19,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,toilet_attached,min_area,2.5,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Attached toilet area must annotate minimum 2.5 sqm with fixture layout,room.area >= 2.5,Attached toilet at 1.8 sqm with shower and WC combined,0,NBC WC-only standard is 1.1 sqm; combined bath+WC minimum is 2.5 sqm per TN practice
20,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,toilet_attached,min_width,1.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Toilet width annotation must show minimum 1.2m clear internal width,room.min_width >= 1.2,Toilet width at 1.0m preventing door swing clearance,0,EWS plots: NBC minimum 1.1m permitted per ADR-5
21,"Part 3, Cl 3.5.2",ROOM_DIMENSIONS,toilet_common,min_area,2.5,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Common toilet must annotate minimum 2.5 sqm with WC and shower zones marked,room.area >= 2.5,Common toilet at 2.0 sqm without adequate shower partition space,0,
22,"Part 3, Cl 3.5.2",ROOM_DIMENSIONS,toilet_common,min_width,1.2,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Common toilet width must show minimum 1.2m clear internal width,room.min_width >= 1.2,Common toilet at 1.05m width with fixtures impeding movement,0,
23,"Part 3, Cl 3.4.6",ROOM_DIMENSIONS,verandah,min_area,4.0,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Verandah area must be annotated with minimum 4.0 sqm dimension block,room.area >= 4.0,Narrow strip verandah at 1.8 sqm counted in carpet area,0,NBC 2016 Table 3 standard is 4.0 sqm
24,"Part 3, Cl 3.4.6",ROOM_DIMENSIONS,verandah,min_width,1.5,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Verandah width must be annotated at minimum 1.5m clear internal width,room.min_width >= 1.5,Verandah reduced to 1.2m as extended living room area,0,NBC 2016 Table 3 minimum 1.5m; EWS permitted 1.2m
25,"Part 3, Cl 3.4.8",ROOM_DIMENSIONS,utility,min_area,2.0,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",When provided for washing machine and drying,RECOMMENDED,Advisory notice issued,Utility area must annotate minimum 2.0 sqm with plumbing points marked,room.area >= 2.0,Utility area at 1.2 sqm insufficient for washing machine placement,1,
26,"Part 3, Cl 3.4.8",ROOM_DIMENSIONS,utility,min_width,1.0,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,RECOMMENDED,Advisory notice issued,Utility width annotation must show minimum 1.0m clear dimension,room.min_width >= 1.0,Utility at 0.8m too narrow for front-load washing machine,1,
27,"Part 3, Cl 3.4.9",ROOM_DIMENSIONS,pooja,min_area,1.8,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",When provided as separate enclosed room,RECOMMENDED,Advisory notice issued,Pooja room must annotate minimum 1.8 sqm when shown as enclosed room,room.area >= 1.8,Pooja room at 1.0 sqm too small for altar and prayer space,1,TN local practice: commonly included in 3BHK+ plans
28,"Part 3, Cl 3.4.9",ROOM_DIMENSIONS,pooja,min_width,1.0,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,RECOMMENDED,Advisory notice issued,Pooja room width annotation must show minimum 1.0m internal clear dimension,room.min_width >= 1.0,Narrow pooja alcove at 0.8m insufficient for person to kneel and pray,1,
29,"Part 3, Cl 3.4.10",ROOM_DIMENSIONS,store,min_area,2.0,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",When provided as separate room,RECOMMENDED,Advisory notice issued,Store room must annotate minimum 2.0 sqm when designated on plan,room.area >= 2.0,Store at 1.0 sqm essentially a large cupboard mislabeled as room,1,
30,"Part 3, Cl 3.4.10",ROOM_DIMENSIONS,store,min_width,1.0,,m,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,RECOMMENDED,Advisory notice issued,Store width annotation must show minimum 1.0m internal clear dimension,room.min_width >= 1.0,Narrow store at 0.7m prevents opening carton boxes stored inside,1,
31,"Part 3, Cl 3.7.1",CORRIDOR_PASSAGE,corridor,min_width,1.0,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Internal corridor width must be annotated at minimum 1.0m clear between walls,corridor.width >= 1.0,Internal corridor at 0.8m too narrow for two-person passing,0,NBC 2016 Table 3: residential corridor minimum 1.0m; EWS 0.9m permitted
32,"Part 3, Cl 3.6.1",ROOM_DIMENSIONS,corridor,min_area,,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",No area minimum — width and connectivity requirements apply,MANDATORY,Plan revision required,Corridor shown at minimum required width with clear annotation of net width,corridor.width >= 1.0,Corridor omitted to save area — bedrooms open directly into living,0,
33,"Part 4, Cl 4.6",ROOM_DIMENSIONS,staircase,min_width,0.9,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",Required for G+1 and above,MANDATORY,Plan rejected by sanctioning authority,Staircase width must be annotated at minimum 0.9m net clear width,stair.width >= 0.9,Staircase at 0.75m too narrow for furniture removal to upper floor,0,NBC 2016 Part 4: residential stair minimum 0.9m; preferred 1.0m
34,"Part 3, Cl 3.6.1",ROOM_DIMENSIONS,master_bedroom,min_door_width,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Main entrance door must be annotated as minimum 0.9m x 2.0m in door schedule,door.width >= 0.9,Main door at 0.8m width violating minimum for furniture movement,0,
35,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,bedroom_2,min_door_width,0.8,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan revision required,Bedroom door must be annotated as minimum 0.8m x 2.0m in door schedule,door.width >= 0.8,Bedroom door reduced to 0.75m for space saving,0,
